source,target,editDistance
hVSMC-0131,hVSMC-0668,8
hVSMC-0131,hVSMC-0400,9
hVSMC-0131,hVSMC-0383,2
hVSMC-0131,hVSMC-0372,7
hVSMC-0131,hVSMC-0328,3
hVSMC-0131,hVSMC-0327,3
hVSMC-0131,hVSMC-0312,3
hVSMC-0131,hVSMC-0296,8
hVSMC-0131,hVSMC-0272,1
hVSMC-0131,hVSMC-0249,4
hVSMC-0131,hVSMC-0242,3
hVSMC-0131,hVSMC-0238,3
hVSMC-0131,hVSMC-0204,8
hVSMC-0131,hVSMC-0203,5
hVSMC-0131,hVSMC-0202,3
hVSMC-0131,hVSMC-0201,2
hVSMC-0131,hVSMC-0199,3
hVSMC-0131,hVSMC-0191,3
hVSMC-0131,hVSMC-0182,6
hVSMC-0131,hVSMC-0176,8
hVSMC-0131,hVSMC-0163,6
hVSMC-0131,hVSMC-0160,8
hVSMC-0131,hVSMC-0156,8
hVSMC-0131,hVSMC-0152,2
